   Pulsar    PTA   raw_T_obs  multi-freq_T_obs  TOAerr_mean  cadence  SNR_scaling_(FoM) 
 J0030+0451  EPTA    15.07          7.09            2.77      11.31          7.12       
 J0030+0451  NANO    15.07          8.77            1.42       53.4         14.49       
 J0034-0534  EPTA    13.51          9.87            4.43      38.74          3.4        
 J0218+4232  EPTA    17.57         13.54            6.28      19.24         13.41       
 J0437-4715  PPTA    10.78         10.78            0.11       7.6         43599.36     
 J0613-0200  PPTA    16.05          5.89            0.92      12.65         25.56       
 J0613-0200  EPTA    16.05         13.67            2.31      14.95         132.85      
 J0613-0200  NANO    16.05          8.59            1.07      25.93         47.36       
 J0621+1002  EPTA    11.77          7.49           10.03      18.36          0.42       
 J0711-6830  PPTA     5.99          5.94            1.99      14.96          4.84       
 J0751+1807  EPTA    17.61          6.45            2.86      16.37          3.07       
 J0900-3144  EPTA     6.86          6.38            3.28       9.14          3.98       
 J1012+5307  EPTA    16.83         12.76            2.21      15.18         106.38      
 J1012+5307  NANO    16.83          9.22            2.14      23.39         18.08       
 J1022+1001  PPTA    17.54          5.99            1.04       13.5         20.22       
 J1022+1001  EPTA    17.54          7.35            2.36      17.09          7.56       
 J1024-0719  PPTA    17.26          5.99            2.03      14.59          4.94       
 J1024-0719  EPTA    17.26          7.49            2.78      24.22          4.19       
 J1045-4509  PPTA     5.99          5.94            3.13      14.36          2.04       
 J1455-3330  NANO     9.68          9.22            4.38      28.31          3.56       
 J1600-3053  PPTA     9.21          5.99            0.63      13.67         55.02       
 J1600-3053  EPTA     9.21          7.39            0.58      17.19         128.09      
 J1600-3053  NANO     9.21          5.98            1.07      20.05         12.82       
 J1603-7202  PPTA     5.99          5.99            1.46      16.83          8.26       
 J1614-2230  NANO     5.09          5.09            1.58      19.38          3.04       
 J1640+2224  EPTA    17.25          7.35            2.64      26.31          3.94       
 J1640+2224  NANO    17.25          8.89            0.61      49.21         89.63       
 J1643-1224  PPTA     17.3          5.99            1.17      15.85         13.57       
 J1643-1224  EPTA     17.3          7.06            1.56      16.54         15.15       
 J1643-1224  NANO     17.3          9.02            1.83      24.77         21.04       
 J1713+0747  PPTA    22.46         10.98            0.19      17.67        6348.01      
 J1713+0747  EPTA    22.46         13.91            0.25      13.06        13515.33     
 J1713+0747  NANO    22.46         14.03            0.25      18.43        10677.1      
 J1730-2304  PPTA    16.69          5.88            1.5       18.04          6.74       
 J1744-1134  PPTA    17.88         10.42            0.38      19.61        1126.83      
 J1744-1134  EPTA    17.88          7.17            0.64      19.12         81.91       
 J1744-1134  NANO    17.88          9.23            0.59      25.53         214.24      
 J1857+0943  PPTA    17.31          5.93            1.56      21.45          5.45       
 J1857+0943  NANO    17.31          8.87            0.77      38.12         72.64       
 J1909-3744  PPTA    10.82         10.82            0.11      12.27        25511.39     
 J1909-3744  EPTA    10.82          5.05            0.15      38.46         175.8       
 J1909-3744  NANO    10.82          7.67            0.26      20.15         637.91      
 J1918-0642  NANO     12.8          9.02            2.34      24.95         12.79       
 J1939+2134  PPTA    29.44          5.84            0.07      21.56         2309.1      
 J1939+2134  EPTA    29.44         12.41            0.08      13.94        84523.06     
 J1939+2134  NANO    29.44         28.94            0.05      32.03       3814286.05    
 J1944+0907  NANO     5.71          5.71            2.14      69.54          0.76       
 J2010-1323  EPTA     7.38          6.87            2.15      43.24          2.68       
 J2124-3358  PPTA     9.39          5.93            2.72      14.45          2.68       
 J2124-3358  EPTA     9.39          5.98            3.47      27.33          0.9        
 J2129-5721  PPTA     5.4           5.29            1.4        16.8          5.28       
 J2145-0750  PPTA    17.52          5.94            0.94      12.46         25.92       
 J2145-0750  EPTA    17.52          7.06            1.37      12.05         26.82       
 J2145-0750  NANO    17.52          9.02            1.51      32.29         23.64       
 J2229+2643  EPTA     8.23          5.58            5.48      46.35          0.16       
 J2317+1439  EPTA    17.35          5.21            3.73      21.87          0.53       
 J2317+1439  NANO    17.35          8.88            0.65      42.12         91.72       
